"longitude","latitude","category","name",,
"-77.06219 "," 38.72873","Museum","Carl Sanburg Middle School Planetarium",,
"-77.06775 "," 38.859","Museum","Arlington Historical Museum",,
"-77.06747 "," 38.859","Museum","Hume Museum",,
"-77.05802 "," 38.88095","Museum","Drug Enforcement Agency Museum and Visitors Center",,
"-77.06108 "," 38.90456","Museum","Museum of Contemporary Art District of Columbia",,
"-77.09886 "," 38.9215","Museum","Discovery Creek Children's Museum",,
"-77.08858 "," 38.92206","Museum","Kreeger Museum",,
"-77.05163 "," 38.914","Museum","Textile Museum",,
"-77.04509 "," 38.7322","Museum","Collingwood Library and Museum on Americanism",,
"-77.04756 "," 38.80367","Museum","Lyceum Museum",,
"-77.02018 "," 38.88833","Museum","Albert Einstein Planetarium",,
"-77.0483 "," 38.89372","Museum","Diplomatic Reception Rooms Museum",,
"-77.04024 "," 38.89483","Museum","National Society of Daughters of American Revolution",,
"-77.03274 "," 38.89428","Museum","National Aquarium of Washington District of Columbia",,
"-77.01934 "," 38.89312","Museum","Newseum",,
"-77.00135 "," 38.89122","Museum","National Museum of African Art",,
"-77.03808 "," 38.90521","Museum","National Geographic Society",,
"-77.0383 "," 38.90622","Museum","B'Nai B'Rith Klutznick Museum",,
"-77.04747 "," 38.91094","Museum","Anderson House Museum",,
"-77.04684 "," 38.9115","Museum","The Phillips Collection",,
"-77.0421 "," 38.91283","Museum","National Museum Of American Jewish Military History",,
"-77.03552 "," 38.91372","Museum","House of the Temple Museum",,
"-77.01964 "," 38.8963","Museum","Marian Koshland Science Museum",,
"-77.02168 "," 38.89664","Museum","National Museum of Crime and Punishment",,
"-77.02334 "," 38.89703","Museum","International Spy Museum",,
"-77.02622 "," 38.8976","Museum","Madame Tussauds",,
"-77.02245 "," 38.89782","Museum","National Portrait Gallery",,
"-77.02352 "," 38.89783","Museum","Smithsonian American Art Museum",,
"-77.02941 "," 38.90011","Museum","National Museum of Women in the Arts",,
"-77.02764 "," 38.90578","Museum","Laogai Museum",,
"-77.03108 "," 38.90789","Museum","Bethune Museum-Archives",,
"-77.02469 "," 38.91733","Museum","Black Fashion Museum",,
"-77.00812 "," 38.89768","Museum","National Postal Museum",,
"-77.00828 "," 38.89774","Museum","National Philatelic and Postal History Museum",,
"-77.01469 "," 38.89872","Museum","Lillian and Albert Small Jewish Museum",,
"-77.01941 "," 38.92233","Museum","Howard University Museum;Moorland Spingarn Research Center",,
"-77.08627 "," 38.93873","Museum","American University Museum",,
"-77.05261 "," 38.94363","Museum","Hillwood Museum",,
"-77.05219 "," 38.94372","Museum","Hillwood Museum",,
"-77.05163 "," 38.95983","Museum","Rock Creek Park Nature Center and Planetarium",,
"-77.0324 "," 38.97646","Museum","National Museum of Health and Medicine",,
"-77.03185 "," 39.09805","Museum","Trolly Car Museum",,
"-77.11144 "," 38.88009","Pub","Front Page",,
"-77.10829 "," 38.88011","Restaurant","Rustico",,
"-77.10762 "," 38.88014","Fast Food Restaurant","Brueger's Bagels",,
"-77.11022 "," 38.88015","Restaurant","Matsutaki",,
"-77.10741 "," 38.88028","Fast Food Restaurant","Subway",,
"-77.1074 "," 38.88104","Restaurant","Sichuan Wok",,
"-77.08827 "," 38.88616","district_of_columbia_Eating_Drin",,,
"-77.11148 "," 38.88105","district_of_columbia_Eating_Drin",,,
"-77.11085 "," 38.88204","Cafe","Primo Fresh Deli",,
"-77.11142 "," 38.88212","Restaurant","brgr","shack",
"-77.11035 "," 38.88215","Restaurant","IHOP",,
"-77.1113 "," 38.88223","Cafe","Tivoli Gourmet & Pastry",,
"-77.11148 "," 38.88225","Restaurant","Pizza Roma",,
"-77.11129 "," 38.88231","Pub","First Down Sports Bar and Grill",,
"-77.10364 "," 38.8831","Cafe","Starbucks",,
"-77.10307 "," 38.88363","Fast Food Restaurant","Cosi",,
"-77.10071 "," 38.88386","Fast Food Restaurant","El Pollo Rico",,
"-77.09394 "," 38.88428","Fast Food Restaurant","Subway",,
"-77.10606 "," 38.88448","Drinking water source",,,
"-77.0936 "," 38.88484","Fast Food Restaurant","Quiznos",,
"-77.09449 "," 38.88505","Restaurant","Moby Dick House of Kebob",,
"-77.08827 "," 38.90809","district_of_columbia_Eating_Drin",,,
"-77.23976 "," 38.88545","district_of_columbia_Eating_Drin",,,
"-77.1382 "," 38.90849","district_of_columbia_Eating_Drin",,,
"-77.23976 "," 38.88545","district_of_columbia_Eating_Drin",,,
"-77.18442 "," 38.89183","Drinking water source",,,
"-77.17893 "," 38.88774","Fast Food Restaurant","Burger King Restaurant",,
"-77.17806 "," 38.88664","Restaurant","Cosi",,
"-77.17739 "," 38.88656","Restaurant","Panera Bread",,
"-77.17711 "," 38.88677","Restaurant","Koi Koi",,
"-77.14225 "," 38.88566","Restaurant","Lebanese Taverna",,
"-77.14195 "," 38.88549","Restaurant","Thai Noi",,
"-77.14184 "," 38.88545","Restaurant","Lost Dog Cafe",,
"-77.13881 "," 38.89766","Restaurant","Taquerio el Pablano",,
"-77.13873 "," 38.89762","Restaurant","Pie-tanza pizza",,
"-77.1384 "," 38.89744","Restaurant","Chesapeake Bagel Bakery",,
"-77.13829 "," 38.89738","Restaurant","Elevation Burger",,
"-77.0964 "," 38.90762","district_of_columbia_Eating_Drin",,,
"-77.1382 "," 38.88545","district_of_columbia_Eating_Drin",,,
"-77.12562 "," 38.90473","Drinking water source",,,
"-77.12248 "," 38.89729","Pub","Thirsty Bernie",,
"-77.11922 "," 38.89842","Restaurant","Crisp n' Juicy",,
"-77.11789 "," 38.89907","Cafe","Lebanese Taverna",,
"-77.10499 "," 38.89114","Drinking water source",,,
"-77.10407 "," 38.89591","Fast Food Restaurant","Baskin Robbins/Dunkin Donuts",,
"-77.10217 "," 38.8859","Restaurant","MaLaTang",,
"-77.10148 "," 38.88585","Fast Food Restaurant","Quiznos",,
"-77.10017 "," 38.89755","Drinking water source",,,
"-77.09682 "," 38.88635","Pub","Liberty Tavern",,
"-77.09667 "," 38.89661","Restaurant","BGR",,
"-77.09655 "," 38.88657","Pub","Spider Kelly's",,
"-77.09654 "," 38.89667","Cafe","Starbucks",,
"-77.08827 "," 38.90691","district_of_columbia_Eating_Drin",,,
"-77.0964 "," 38.88545","district_of_columbia_Eating_Drin",,,
"-77.09272 "," 38.88551","Restaurant","Screwtop",,
"-77.09277 "," 38.88617","Restaurant","American Flatbread",,
"-77.0964 "," 38.8867","Restaurant","Eventide",,
"-77.0959 "," 38.88701","Restaurant","Kabob Bazaar",,
"-77.09582 "," 38.88708","Restaurant","Rien Tong Thai Cuisine",,
"-77.09181 "," 38.88718","Restaurant","Tandoori Nights",,
"-77.09478 "," 38.88723","Restaurant","Delhi Club",,
"-77.09193 "," 38.88724","Restaurant","Bertucci's",,
"-77.09382 "," 38.88739","Restaurant","Restaurant 3",,
"-77.0948 "," 38.88745","Restaurant","Hard Times Cafe",,
"-77.09323 "," 38.88767","Cafe","Le Pain Quotidien",,
"-77.09329 "," 38.88797","Restaurant","The Cheesecake Factory",,
"-77.09395 "," 38.88842","Restaurant","Mexicali Blues",,
"-77.09336 "," 38.88846","Restaurant","La Tasca",,
"-77.08827 "," 38.90894","district_of_columbia_Eating_Drin",,,
"-77.0964 "," 38.88848","district_of_columbia_Eating_Drin",,,
"-77.0937 "," 38.88857","Pub","RiRa",,
"-77.0931 "," 38.88857","Restaurant","Whitlow's on Wilson",,
"-77.09349 "," 38.88867","Restaurant","Faccia Luna Trattoria",,
"-77.09336 "," 38.88873","Restaurant","Boulevard Woodgrill",,
"-77.09254 "," 38.88882","Cafe","Iota club & Cafe",,
